Country,Year,Export_Quantity_t,Export_Value_1000USD,Import_Quantity_t,Import_Value_1000USD,Export_Value_USD,Import_Value_USD,Export_Value_USD_per_kg,Import_Value_USD_per_kg,Trade_Balance_USD,Export_Value_Growth_pct,Export_Volume_Growth_pct
Chile,2010,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
Chile,2011,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
Chile,2012,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
Chile,2013,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
Chile,2020,106180.59,556001.0,22.95,160.0,556001000.0,160000.0,5.236371355631006,6.971677559912854,555841000.0,inf,inf
Chile,2021,112810.08,577140.0,84.04,475.0,577140000.0,475000.0,5.1160321843579935,5.652070442646359,576665000.0,3.8019715791878017,6.243598759434277
Chile,2022,105431.14,444220.0,131.44,764.0,444220000.0,764000.0,4.2133661838428385,5.81253804017042,443456000.0,-23.030807083203385,-6.541028957695982
Chile,2023,29099.0,139534.0,0.0,0.0,139534000.0,0.0,4.795147599573869,,139534000.0,-68.58898743865652,-72.39999491611302
Chile,2024,89582.11,447484.0,354.0,2306.0,447484000.0,2306000.0,4.995238446605019,6.5141242937853105,445178000.0,220.69889775968582,207.85288154232103
Peru,2013,1499.0,16943.0,0.0,0.0,16943000.0,0.0,11.302868579052701,,16943000.0,,
Peru,2014,2899.2,30357.0,0.0,0.0,30357000.0,0.0,10.470819536423841,,30357000.0,79.1713391961282,93.40893929286189
Peru,2015,10209.96,95804.0,0.0,0.0,95804000.0,0.0,9.383386418751886,,95804000.0,215.59113219356325,252.16473509933772
Peru,2016,54479.68,474241.0,0.0,0.0,474241000.0,0.0,8.7049153005304,,474241000.0,395.011690534842,433.593471472954
Peru,2017,43038.97,361613.0,0.0,0.0,361613000.0,0.0,8.401990103387698,,361613000.0,-23.74910646696511,-20.999958149533914
Peru,2018,74003.13,547938.0,0.0,0.0,547938000.0,0.0,7.40425438761847,,547938000.0,51.52607898499224,71.94447264885756
Peru,2019,125055.83,820415.0,0.0,0.0,820415000.0,0.0,6.560389867469594,,820415000.0,49.72770641933941,68.98721716230109
Peru,2020,162174.36,1002975.0,0.0,0.0,1002975000.0,0.0,6.184547298352218,,1002975000.0,22.252152873850427,29.681567024903988
Spain,2010,2042.0,18424.0,438.0,3845.0,18424000.0,3845000.0,9.02252693437806,8.778538812785389,14579000.0,,
Spain,2011,4790.0,32950.0,452.0,2641.0,32950000.0,2641000.0,6.8789144050104385,5.842920353982301,30309000.0,78.84281372123318,134.57394711067582
Spain,2012,6299.0,53099.0,1089.0,7103.0,53099000.0,7103000.0,8.42975075408795,6.522497704315886,45996000.0,61.150227617602425,31.503131524008342
Spain,2013,6877.0,68566.0,2646.0,18596.0,68566000.0,18596000.0,9.970335902282972,7.027966742252456,49970000.0,29.128608825024948,9.176059692014604
Spain,2014,10643.56,89318.0,4439.7,31610.0,89318000.0,31610000.0,8.391741109177756,7.119850440345068,57708000.0,30.26572937024181,54.77039406718045
Spain,2015,14139.88,97395.0,5938.3,40547.0,97395000.0,40547000.0,6.887965102957026,6.828048431369247,56848000.0,9.042970062025567,32.849159491749006
Spain,2016,19300.1,148274.0,6042.03,44453.0,148274000.0,44453000.0,7.682550867612085,7.357295478506396,103821000.0,52.23984804148056,36.494086229868984
Spain,2017,26429.21,161421.0,2648.59,24806.0,161421000.0,24806000.0,6.107674047010864,9.365737996443391,136615000.0,8.866692744513527,36.93820239273373
Spain,2018,33893.82,221449.0,2703.44,21660.0,221449000.0,21660000.0,6.533609961934063,8.012014322492824,199789000.0,37.18723090552034,28.243787839288427
Spain,2019,45624.58,233634.0,2901.49,19949.0,233634000.0,19949000.0,5.1207923448281605,6.875432967199611,213685000.0,5.502395585439546,34.610321291610106
Spain,2020,40474.66,259525.0,6576.16,36662.0,259525000.0,36662000.0,6.412036568065056,5.574986010072748,222863000.0,11.08186308499619,-11.28759979817896
Spain,2021,36663.03,250218.0,3904.97,21012.0,250218000.0,21012000.0,6.82480416921351,5.38083519207574,229206000.0,-3.5861670359310316,-9.417324320945507
Spain,2022,42449.61,227723.0,6181.25,28745.0,227723000.0,28745000.0,5.364548696678249,4.650353892821031,198978000.0,-8.99016057997426,15.783147219419668
Spain,2023,29483.72,201386.0,5545.16,29738.0,201386000.0,29738000.0,6.830413529907352,5.362875011721934,171648000.0,-11.565366695502865,-30.544191100931194
Spain,2024,35173.39,227011.0,5681.63,26118.0,227011000.0,26118000.0,6.4540551820566625,4.59692024999868,200893000.0,12.72432045921763,19.297666644507537
