Scenario,Year,Units,Price_per_Plant,Variable_Cost_per_Plant,Incremental_Revenue,Incremental_Variable_Cost,Incremental_Fixed_OPEX,Terminal_Value,Net_Cash_Flow
Downside,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-850000.0
Downside,1,75000.0,4.1225,1.8900000000000001,309187.49999999994,141750.0,80000.0,0,87437.49999999994
Downside,2,90000.0,4.20495,1.9467,378445.5,175203.0,82400.0,0,120842.5
Downside,3,105000.0,4.2890489999999994,2.005101,450350.14499999996,210535.60499999998,84872.0,0,154942.53999999998
Downside,4,120000.0,4.37482998,2.06525403,524979.5976000001,247830.48360000004,87418.16,0,189730.95400000006
Downside,5,135000.0,4.4623265796,2.1272116509000005,602414.088246,287173.57287150004,90040.7048,70000,295199.81057449995
Base,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-850000.0
Base,1,100000.0,4.25,1.75,425000.0,175000.0,80000.0,0,170000.0
Base,2,120000.0,4.335,1.8025,520200.0,216300.0,82400.0,0,221500.0
Base,3,140000.0,4.4216999999999995,1.8565749999999999,619037.9999999999,259920.49999999997,84872.0,0,274245.4999999999
Base,4,160000.0,4.510134000000001,1.91227225,721621.4400000002,305963.56,87418.16,0,328239.7200000002
Base,5,180000.0,4.60033668,1.9696404175000002,828060.6024,354535.27515000006,90040.7048,100000,483484.6224499999
Upside,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-850000.0
Upside,1,120000.0,4.3775,1.6975,525300.0,203700.0,80000.0,0,241600.0
Upside,2,144000.0,4.46505,1.748425,642967.2,251773.19999999998,82400.0,0,308794.0
Upside,3,168000.0,4.554351,1.8008777499999997,765130.9679999999,302547.46199999994,84872.0,0,377711.50599999994
Upside,4,192000.0,4.645438020000001,1.8549040825,891924.0998400003,356141.58384000004,87418.16,0,448364.35600000026
Upside,5,216000.0,4.7383467804,1.9105512049750002,1023482.9045664,412679.06027460005,90040.7048,120000,640763.1394918
