Area,Item,Element,Year,Unit,Value,Flag
Chile,Blueberries,Area harvested,2010,ha,7298.0,A
Chile,Blueberries,Production,2010,t,56000.0,E
Chile,Blueberries,Yield,2010,kg/ha,7673.3,E
Chile,Blueberries,Area harvested,2011,ha,7298.0,A
Chile,Blueberries,Production,2011,t,74000.0,E
Chile,Blueberries,Yield,2011,kg/ha,10139.8,E
Chile,Blueberries,Area harvested,2012,ha,12376.0,A
Chile,Blueberries,Production,2012,t,78000.0,E
Chile,Blueberries,Yield,2012,kg/ha,6302.5,E
Chile,Blueberries,Area harvested,2013,ha,14723.0,A
Chile,Blueberries,Production,2013,t,82000.0,E
Chile,Blueberries,Yield,2013,kg/ha,5569.5,E
Chile,Blueberries,Area harvested,2014,ha,14476.0,A
Chile,Blueberries,Production,2014,t,88000.0,E
Chile,Blueberries,Yield,2014,kg/ha,6079.0,E
Chile,Blueberries,Area harvested,2015,ha,14573.0,A
Chile,Blueberries,Production,2015,t,93000.0,E
Chile,Blueberries,Yield,2015,kg/ha,6381.7,E
Chile,Blueberries,Area harvested,2016,ha,15801.0,A
Chile,Blueberries,Production,2016,t,116000.0,E
Chile,Blueberries,Yield,2016,kg/ha,7341.3,E
Chile,Blueberries,Area harvested,2017,ha,15707.0,A
Chile,Blueberries,Production,2017,t,95000.0,E
Chile,Blueberries,Yield,2017,kg/ha,6048.3,E
Chile,Blueberries,Area harvested,2018,ha,15815.0,A
Chile,Blueberries,Production,2018,t,126000.0,E
Chile,Blueberries,Yield,2018,kg/ha,7967.1,E
Chile,Blueberries,Area harvested,2019,ha,18373.0,A
Chile,Blueberries,Production,2019,t,130004.33,I
Chile,Blueberries,Yield,2019,kg/ha,7075.8,E
Chile,Blueberries,Area harvested,2020,ha,18375.0,A
Chile,Blueberries,Production,2020,t,127050.73,I
Chile,Blueberries,Yield,2020,kg/ha,6914.3,E
Chile,Blueberries,Area harvested,2021,ha,18216.0,A
Chile,Blueberries,Production,2021,t,127000.0,E
Chile,Blueberries,Yield,2021,kg/ha,6971.9,E
Chile,Blueberries,Area harvested,2022,ha,17822.0,A
Chile,Blueberries,Production,2022,t,124296.55,I
Chile,Blueberries,Yield,2022,kg/ha,6974.3,E
Chile,Blueberries,Area harvested,2023,ha,17631.0,A
Chile,Blueberries,Production,2023,t,122332.6,I
Chile,Blueberries,Yield,2023,kg/ha,6938.5,E
Chile,Blueberries,Area harvested,2024,ha,14038.0,A
Chile,Blueberries,Production,2024,t,97218.79,I
Chile,Blueberries,Yield,2024,kg/ha,6925.4,E
Mexico,Blueberries,Area harvested,2010,ha,106.0,A
Mexico,Blueberries,Production,2010,t,1059.0,A
Mexico,Blueberries,Yield,2010,kg/ha,9990.6,A
Mexico,Blueberries,Area harvested,2011,ha,636.0,A
Mexico,Blueberries,Production,2011,t,6704.0,A
Mexico,Blueberries,Yield,2011,kg/ha,10540.9,A
Mexico,Blueberries,Area harvested,2012,ha,885.0,A
Mexico,Blueberries,Production,2012,t,7191.0,A
Mexico,Blueberries,Yield,2012,kg/ha,8125.4,A
Mexico,Blueberries,Area harvested,2013,ha,1290.0,A
Mexico,Blueberries,Production,2013,t,10160.0,A
Mexico,Blueberries,Yield,2013,kg/ha,7876.0,A
Mexico,Blueberries,Area harvested,2014,ha,1803.0,A
