Country,Model_Year,Scenario,Area_Harvested_ha,Production_t,Yield_kg_ha,Units_Sold,price_per_plant,Revenue,COGS,Gross_Profit,Gross_Margin_pct,Operating_Expenses,EBITDA,EBITDA_Margin_pct,Revenue_Variance_vs_Budget,Revenue_Variance_vs_Budget_pct,Gross_Profit_Variance_vs_Budget,Gross_Profit_Variance_vs_Budget_pct,EBITDA_Variance_vs_Budget,EBITDA_Variance_vs_Budget_pct,Units_Sold_Variance_vs_Budget,Units_Sold_Variance_vs_Budget_pct
Chile,2024,Actual,14038.0,97218.79,6925.4,191619.0,4.3,823961.7,342998.01,480963.68999999994,58.372093023255815,250000.0,230963.68999999994,28.030876920614144,,,,,,,,
Mexico,2024,Actual,5843.0,80533.93,13783.7,127144.0,4.25,540362.0,223773.44,316588.56,58.58823529411765,170000.0,146588.56,27.12784392684904,,,,,,,,
Peru,2024,Actual,28157.0,353600.0,12558.1,434392.0,4.1,1781007.2,747154.24,1033852.96,58.048780487804876,620000.0,413852.95999999996,23.237017795323904,,,,,,,,
Spain,2024,Actual,5180.0,60950.0,11766.4,111888.0,4.55,509090.39999999997,206992.80000000002,302097.6,59.34065934065934,160000.0,142097.59999999998,27.912056483485053,,,,,,,,
Chile,2025,Budget,14038.0,97218.79,6925.4,199284.0,4.4075,878344.23,369203.5026,509140.7274,57.965967101531476,260000.0,249140.72739999997,28.364816308977176,,,,,,,,
Mexico,2025,Budget,5843.0,80533.93,13783.7,137316.0,4.356249999999999,598182.825,250134.82559999998,348047.9994,58.184218077474895,176800.0,171247.99939999997,28.628036821351394,,,,,,,,
Peru,2025,Budget,28157.0,353600.0,12558.1,486519.0,4.2025,2044596.0975,866101.1238,1178494.9737,57.639500297442005,644800.0,533694.9737,26.102709202691315,,,,,,,,
Spain,2025,Budget,5180.0,60950.0,11766.4,118601.0,4.663749999999999,553125.41375,227091.26475,326034.149,58.943982846421875,166400.0,159634.14899999998,28.860389530420484,,,,,,,,
Chile,2025,Forecast,14038.0,97218.79,6925.4,187327.0,4.363424999999999,817387.3149749999,347051.36655,470335.9484249999,57.541380910637855,260000.0,210335.9484249999,25.732715026466142,-60956.91502500011,-6.939980128861337,-38804.77897500008,-7.62162146665466,-38804.77897500008,-15.575445805252988,-11957.0,-5.999979928142752
Mexico,2025,Forecast,5843.0,80533.93,13783.7,140062.0,4.3780312499999985,613195.8129374998,255136.9392,358058.8737374998,58.392256793507336,176800.0,181258.87373749982,29.559705058843033,15012.987937499885,2.5097657956829313,10010.874337499845,2.8762913031414037,10010.874337499845,5.845834329495733,2746.0,1.9997669608785573
Peru,2025,Forecast,28157.0,353600.0,12558.1,525441.0,4.244524999999999,2230247.4605249995,935390.0681999999,1294857.3923249997,58.05891118558614,644800.0,650057.3923249997,29.147321265057123,185651.36302499962,9.080099646673597,116362.4186249997,9.87381543594272,116362.4186249997,21.803169293179295,38922.0,8.000098660072885
Spain,2025,Forecast,5180.0,60950.0,11766.4,115043.0,4.64043125,533849.13229375,220278.58424999999,313570.54804375,58.73767120243405,166400.0,147170.54804375,27.567816287611674,-19276.28145625,-3.4849748315781484,-12463.600956249982,-3.822790034258032,-12463.600956249982,-7.807603219189639,-3558.0,-2.999974705103667
