Date,Year,Month_Num,Month,Country,Scenario,Units_Sold,Price_per_Plant,Revenue,COGS,Gross_Profit,Gross_Margin_pct,Operating_Expenses,EBITDA,EBITDA_Margin_pct,Market_Area_Harvested_ha,Market_Production_t,Market_Yield_kg_ha,Budget_Revenue,Budget_EBITDA,Budget_Units_Sold,Revenue_Variance_vs_Budget,Revenue_Variance_vs_Budget_pct,EBITDA_Variance_vs_Budget,EBITDA_Variance_vs_Budget_pct,Units_Variance_vs_Budget_pct
2024-01-01,2024,1,Jan,Chile,Actual,11497.14,4.3,49437.702,20579.8806,28857.821399999997,58.372093023255815,20833.333333333332,8024.488066666665,16.231515102920167,14038.0,97218.79,6925.4,52700.6538,8881.776977333331,11957.039999999999,,,,,
2024-02-01,2024,2,Feb,Chile,Actual,13413.330000000002,4.3,57677.319,24009.860700000005,33667.4583,58.372093023255815,20833.333333333332,12834.124966666666,22.251597662968116,14038.0,97218.79,6925.4,61484.0961,13973.184251333329,13949.880000000001,,,,,
2024-03-01,2024,3,Mar,Chile,Actual,17245.71,4.3,74156.553,30869.8209,43286.7321,58.372093023255815,20833.333333333332,22453.39876666667,30.27837440969872,14038.0,97218.79,6925.4,79050.9807,24155.99879933333,17935.559999999998,,,,,
2024-04-01,2024,4,Apr,Chile,Actual,21078.09,4.3,90635.787,37729.7811,52906.0059,58.372093023255815,20833.333333333332,32072.672566666664,35.386323248527276,14038.0,97218.79,6925.4,96617.8653,34338.81334733333,21921.24,,,,,
2024-05-01,2024,5,May,Chile,Actual,22994.28,4.3,98875.404,41159.7612,57715.642799999994,58.372093023255815,20833.333333333332,36882.30946666666,37.301804063087985,14038.0,97218.79,6925.4,105401.3076,39430.22062133333,23914.079999999998,,,,,
2024-06-01,2024,6,Jun,Chile,Actual,21078.09,4.3,90635.787,37729.7811,52906.0059,58.372093023255815,20833.333333333332,32072.672566666664,35.386323248527276,14038.0,97218.79,6925.4,96617.8653,34338.81334733333,21921.24,,,,,
2024-07-01,2024,7,Jul,Chile,Actual,17245.71,4.3,74156.553,30869.8209,43286.7321,58.372093023255815,20833.333333333332,22453.39876666667,30.27837440969872,14038.0,97218.79,6925.4,79050.9807,24155.99879933333,17935.559999999998,,,,,
2024-08-01,2024,8,Aug,Chile,Actual,15329.52,4.3,65916.936,27439.8408,38477.095199999996,58.372093023255815,20833.333333333332,17643.761866666664,26.766659583004078,14038.0,97218.79,6925.4,70267.5384,19064.59152533334,15942.720000000001,,,,,
2024-09-01,2024,9,Sep,Chile,Actual,13413.330000000002,4.3,57677.319,24009.860700000005,33667.4583,58.372093023255815,20833.333333333332,12834.124966666666,22.251597662968116,14038.0,97218.79,6925.4,61484.0961,13973.184251333329,13949.880000000001,,,,,
2024-10-01,2024,10,Oct,Chile,Actual,13413.330000000002,4.3,57677.319,24009.860700000005,33667.4583,58.372093023255815,20833.333333333332,12834.124966666666,22.251597662968116,14038.0,97218.79,6925.4,61484.0961,13973.184251333329,13949.880000000001,,,,,
2024-11-01,2024,11,Nov,Chile,Actual,13413.330000000002,4.3,57677.319,24009.860700000005,33667.4583,58.372093023255815,20833.333333333332,12834.124966666666,22.251597662968116,14038.0,97218.79,6925.4,61484.0961,13973.184251333329,13949.880000000001,,,,,
2024-12-01,2024,12,Dec,Chile,Actual,11497.14,4.3,49437.702,20579.8806,28857.821399999997,58.372093023255815,20833.333333333332,8024.488066666665,16.231515102920167,14038.0,97218.79,6925.4,52700.6538,8881.776977333331,11957.039999999999,,,,,
2024-01-01,2024,1,Jan,Mexico,Actual,8900.080000000002,4.25,37825.340000000004,15664.140800000001,22161.199200000003,58.58823529411765,14166.666666666666,7994.532533333337,21.13538842832169,5843.0,80533.93,13783.7,41872.79775,9630.026624666663,9612.12,,,,,
2024-02-01,2024,2,Feb,Mexico,Actual,10171.52,4.25,43228.96,17901.875200000002,25327.084799999997,58.58823529411764,14166.666666666666,11160.41813333333,25.816994286546173,5843.0,80533.93,13783.7,47854.626,13110.50661866666,10985.28,,,,,
2024-03-01,2024,3,Mar,Mexico,Actual,11442.96,4.25,48632.58,20139.6096,28492.970400000002,58.58823529411765,14166.666666666666,14326.303733333336,29.458243287387457,5843.0,80533.93,13783.7,53836.454249999995,16590.98661266666,12358.439999999999,,,,,
2024-04-01,2024,4,Apr,Mexico,Actual,12714.400000000001,4.25,54036.200000000004,22377.344,31658.856000000003,58.58823529411765,14166.666666666666,17492.189333333336,32.371242488060474,5843.0,80533.93,13783.7,59818.2825,20071.46660666666,13731.6,,,,,
2024-05-01,2024,5,May,Mexico,Actual,13985.84,4.25,59439.82,24615.078400000002,34824.741599999994,58.58823529411764,14166.666666666666,20658.07493333333,34.7546054704293,5843.0,80533.93,13783.7,65800.11074999999,23551.946600666655,15104.76,,,,,
