Country,Month_Num,Month,Sales_Weight
Chile,1,Jan,0.06
Chile,2,Feb,0.07
Chile,3,Mar,0.09
Chile,4,Apr,0.11
Chile,5,May,0.12
Chile,6,Jun,0.11
Chile,7,Jul,0.09
Chile,8,Aug,0.08
Chile,9,Sep,0.07
Chile,10,Oct,0.07
Chile,11,Nov,0.07
Chile,12,Dec,0.06
Mexico,1,Jan,0.07
Mexico,2,Feb,0.08
Mexico,3,Mar,0.09
Mexico,4,Apr,0.1
Mexico,5,May,0.11
Mexico,6,Jun,0.1
Mexico,7,Jul,0.09
Mexico,8,Aug,0.08
Mexico,9,Sep,0.07
Mexico,10,Oct,0.07
Mexico,11,Nov,0.07
Mexico,12,Dec,0.07
Peru,1,Jan,0.05
Peru,2,Feb,0.06
Peru,3,Mar,0.07
Peru,4,Apr,0.08
Peru,5,May,0.09
Peru,6,Jun,0.1
Peru,7,Jul,0.11
Peru,8,Aug,0.11
Peru,9,Sep,0.1
Peru,10,Oct,0.09
Peru,11,Nov,0.08
Peru,12,Dec,0.06
Spain,1,Jan,0.06
Spain,2,Feb,0.07
Spain,3,Mar,0.1
Spain,4,Apr,0.12
Spain,5,May,0.13
Spain,6,Jun,0.11
Spain,7,Jul,0.09
Spain,8,Aug,0.07
Spain,9,Sep,0.06
Spain,10,Oct,0.06
Spain,11,Nov,0.07
Spain,12,Dec,0.06
